date,open,high,low,close,volume
2023-11-08,150.0,150.28,147.61,148.34,1053921
2023-11-09,148.34,148.75,147.51,147.76,1055954
2023-11-10,147.76,148.72,145.63,146.14,845335
2023-11-13,146.14,147.42,145.1,147.01,820940
2023-11-14,147.01,151.18,146.43,150.96,878747
2023-11-15,150.96,151.89,149.34,149.43,829776
2023-11-16,149.43,150.53,148.61,150.01,1020266
2023-11-17,150.01,151.01,149.26,150.51,1120146
2023-11-20,150.51,150.51,147.89,148.47,1298828
2023-11-21,148.47,150.39,148.43,148.97,1153905
2023-11-22,148.97,149.46,148.65,148.72,1183144
2023-11-23,148.72,150.62,147.87,149.45,993257
2023-11-24,149.45,152.81,148.93,152.42,1255136
2023-11-27,152.42,154.71,152.02,152.61,998712
2023-11-28,152.61,155.2,152.5,154.72,843572
2023-11-29,154.72,155.71,151.98,153.7,1179020
2023-11-30,153.7,155.13,153.48,154.74,1198511
2023-12-01,154.74,155.68,153.85,155.24,1023712
2023-12-04,155.24,157.53,154.49,156.35,858254
2023-12-05,156.35,158.66,156.09,158.18,934897
2023-12-06,158.18,161.44,157.63,161.18,905355
2023-12-07,161.18,165.8,160.2,164.53,1120918
2023-12-08,164.53,170.23,164.38,168.73,1186345
2023-12-11,168.73,170.54,168.11,170.2,836699
2023-12-12,170.2,172.92,170.15,172.31,985852
2023-12-13,172.31,176.96,171.68,174.85,1041862
2023-12-14,174.85,175.64,171.72,171.93,1254212
2023-12-15,171.93,173.31,171.33,173.04,894900
2023-12-18,173.04,175.09,172.28,172.98,1241095
2023-12-19,172.98,177.92,172.43,177.18,851920
2023-12-20,177.18,182.37,177.08,181.81,928491
2023-12-21,181.81,185.41,180.71,184.86,946718
2023-12-22,184.86,187.74,184.25,186.41,1079683
2023-12-25,186.41,187.97,185.38,187.2,940110
2023-12-26,187.2,188.83,186.46,188.52,1022853
2023-12-27,188.52,189.45,188.3,188.9,984393
2023-12-28,188.9,189.12,186.94,188.22,1290247
2023-12-29,188.22,192.28,187.02,191.47,1092220
2024-01-01,191.47,192.22,189.38,192.02,1150485
2024-01-02,192.02,192.92,191.98,192.73,1118092
2024-01-03,192.73,192.9,188.33,189.86,837631
2024-01-04,189.86,198.23,189.41,196.69,1250098
2024-01-05,196.69,198.22,196.09,196.68,975917
2024-01-08,196.68,197.52,190.81,192.71,1235551
2024-01-09,192.71,193.56,189.17,189.98,1112480
2024-01-10,189.98,190.91,187.5,188.34,1104433
2024-01-11,188.34,191.58,186.4,190.92,1164104
2024-01-12,190.92,192.17,189.92,190.98,1090476
2024-01-15,190.98,191.65,186.47,187.82,814895
2024-01-16,187.82,190.49,187.18,189.62,915111
2024-01-17,189.62,190.67,187.53,189.13,927915
2024-01-18,189.13,189.93,186.5,186.56,1139068
2024-01-19,186.56,187.66,185.42,187.11,1020966
2024-01-22,187.11,187.76,185.28,185.8,1132950
2024-01-23,185.8,187.59,185.1,186.65,1240134
2024-01-24,186.65,187.58,182.19,183.0,958243
2024-01-25,183.0,185.44,182.07,184.62,1155609
2024-01-26,184.62,185.33,181.55,181.78,884564
2024-01-29,181.78,182.0,180.4,180.61,1112867
2024-01-30,180.61,183.44,180.58,182.64,1219559
2024-01-31,182.64,184.97,182.44,184.86,1236415
2024-02-01,184.86,186.69,184.48,185.29,1085291
2024-02-02,185.29,186.82,183.83,184.32,1027416
2024-02-05,184.32,186.38,184.05,184.66,918705
2024-02-06,184.66,185.47,183.97,185.25,1114982
2024-02-07,185.25,186.19,182.63,184.01,1279230
2024-02-08,184.01,184.57,183.17,183.74,805383
2024-02-09,183.74,185.57,183.48,184.14,889549
