date,open,high,low,close,volume
2023-11-08,190.0,190.77,186.87,187.32,912580
2023-11-09,187.32,187.87,185.87,185.97,804403
2023-11-10,185.97,188.3,184.26,187.18,989213
2023-11-13,187.18,188.6,185.7,186.67,963060
2023-11-14,186.67,191.21,186.26,190.24,835033
2023-11-15,190.24,192.63,187.6,189.2,853858
2023-11-16,189.2,191.33,183.62,184.69,1038640
2023-11-17,184.69,185.51,184.33,184.89,929173
2023-11-20,184.89,185.24,183.68,184.62,1018183
2023-11-21,184.62,186.32,180.32,180.72,1168523
2023-11-22,180.72,181.52,178.61,179.35,1094987
2023-11-23,179.35,180.1,176.23,176.42,1027786
2023-11-24,176.42,178.58,175.31,177.03,1219708
2023-11-27,177.03,180.61,176.86,180.01,911573
2023-11-28,180.01,183.5,179.19,183.34,1297333
2023-11-29,183.34,183.79,180.3,180.87,855760
2023-11-30,180.87,182.61,178.08,178.37,1016617
2023-12-01,178.37,179.8,177.2,177.64,861245
2023-12-04,177.64,180.07,176.88,178.69,946849
2023-12-05,178.69,179.21,175.19,175.86,803370
2023-12-06,175.86,177.45,174.63,175.11,1220312
2023-12-07,175.11,175.52,173.13,173.87,1280465
2023-12-08,173.87,174.25,171.47,173.55,1099848
2023-12-11,173.55,174.7,172.62,172.97,942069
2023-12-12,172.97,173.97,169.69,172.06,836387
2023-12-13,172.06,172.09,167.91,170.36,1128651
2023-12-14,170.36,172.57,169.04,172.07,842114
2023-12-15,172.07,173.52,167.12,168.11,939297
2023-12-18,168.11,168.51,164.11,164.18,1080028
2023-12-19,164.18,167.7,163.83,166.99,1006221
2023-12-20,166.99,171.69,166.99,169.81,1098589
2023-12-21,169.81,171.93,169.66,171.04,962715
2023-12-22,171.04,171.09,164.35,166.29,1269000
2023-12-25,166.29,168.87,164.65,168.13,991046
2023-12-26,168.13,171.51,167.71,171.11,910340
2023-12-27,171.11,171.71,167.25,168.79,802551
2023-12-28,168.79,169.95,167.47,167.59,893977
2023-12-29,167.59,168.88,167.54,168.37,995688
2024-01-01,168.37,168.38,165.05,165.24,1260088
2024-01-02,165.24,166.97,164.14,165.96,1144525
2024-01-03,165.96,167.16,163.94,164.54,1208928
2024-01-04,164.54,168.68,164.36,166.91,858576
2024-01-05,166.91,167.48,165.08,167.44,1262686
2024-01-08,167.44,168.03,164.8,165.68,1270949
2024-01-09,165.68,169.48,165.67,168.26,874519
2024-01-10,168.26,169.71,167.23,169.62,1198439
2024-01-11,169.62,170.15,168.22,168.7,1245231
2024-01-12,168.7,172.22,168.39,170.44,1144370
2024-01-15,170.44,172.75,169.63,171.91,1201020
2024-01-16,171.91,173.36,171.25,173.24,1218414
2024-01-17,173.24,173.42,169.89,170.02,912515
2024-01-18,170.02,170.53,169.91,170.29,936494
2024-01-19,170.29,172.48,168.46,172.09,950859
2024-01-22,172.09,172.78,170.64,171.94,1132296
2024-01-23,171.94,173.39,169.56,170.22,1048542
2024-01-24,170.22,171.59,168.61,168.65,946150
2024-01-25,168.65,170.05,165.64,166.44,1271330
2024-01-26,166.44,169.57,164.88,168.68,1038626
2024-01-29,168.68,169.31,168.24,169.17,929499
2024-01-30,169.17,170.69,168.38,169.73,978929
2024-01-31,169.73,170.2,168.0,170.12,1078908
2024-02-01,170.12,170.86,169.09,170.27,1272007
2024-02-02,170.27,170.91,168.36,169.29,815028
2024-02-05,169.29,169.47,167.35,167.36,1164758
2024-02-06,167.36,167.74,165.98,166.48,1115499
2024-02-07,166.48,167.42,162.43,162.92,1146237
2024-02-08,162.92,164.36,158.05,159.25,1262842
2024-02-09,159.25,160.42,157.35,157.47,856338
2024-02-12,157.47,157.8,152.87,153.05,937566
2024-02-13,153.05,154.37,151.38,154.18,1067848
2024-02-14,154.18,156.43,154.11,155.85,898118
2024-02-15,155.85,157.29,155.09,155.21,1000052
2024-02-16,155.21,156.44,154.78,156.38,1013385
2024-02-19,156.38,159.17,155.98,158.42,819565
2024-02-20,158.42,159.61,155.72,156.94,879577
2024-02-21,156.94,158.48,155.7,156.12,1156778
2024-02-22,156.12,158.13,152.74,153.26,944187
2024-02-23,153.26,157.49,152.1,155.83,1027709
2024-02-26,155.83,157.66,150.77,151.44,1277188
2024-02-27,151.44,151.81,150.58,151.3,937418
2024-02-28,151.3,151.89,150.15,151.84,1189165
2024-02-29,151.84,151.94,149.57,151.31,1153152
2024-03-01,151.31,153.3,150.28,152.56,872098
2024-03-04,152.56,153.21,150.74,151.16,1261706
2024-03-05,151.16,151.44,148.33,149.18,838996
2024-03-06,149.18,149.55,148.64,148.75,1251513
2024-03-07,148.75,148.9,147.28,148.3,1117094
2024-03-08,148.3,150.27,147.88,149.56,1276987
2024-03-11,149.56,150.42,148.26,150.38,1008793
2024-03-12,150.38,150.63,149.21,150.31,800024
2024-03-13,150.31,151.14,148.07,148.1,1121752
2024-03-14,148.1,151.59,147.44,149.01,1275859
2024-03-15,149.01,149.23,148.21,148.63,1011939
2024-03-18,148.63,150.46,148.47,150.11,949717
2024-03-19,150.11,150.92,146.4,147.33,989712
2024-03-20,147.33,148.99,146.02,148.78,895735
2024-03-21,148.78,149.6,148.0,148.09,956581
2024-03-22,148.09,148.82,147.47,147.55,994770
2024-03-25,147.55,147.85,145.71,146.17,1145297
2024-03-26,146.17,146.56,144.74,144.84,1238330
2024-03-27,144.84,146.34,143.37,145.48,955170
2024-03-28,145.48,150.33,145.27,147.97,873289
2024-03-29,147.97,150.81,147.53,150.16,927342
2024-04-01,150.16,151.02,150.1,150.2,828327
2024-04-02,150.2,152.39,148.73,151.93,919093
2024-04-03,151.93,152.47,151.76,152.29,860722
2024-04-04,152.29,153.52,147.59,149.71,903140
2024-04-05,149.71,150.93,146.34,147.58,1206117
2024-04-08,147.58,148.17,146.71,148.04,1221652
2024-04-09,148.04,148.59,147.19,148.25,1141283
2024-04-10,148.25,148.83,144.52,144.86,876075
2024-04-11,144.86,148.11,144.45,147.46,968752
2024-04-12,147.46,147.68,146.1,147.19,1132898
2024-04-15,147.19,148.96,146.4,148.44,1094814
2024-04-16,148.44,152.14,147.3,149.64,1205750
2024-04-17,149.64,152.06,148.53,151.3,914548
2024-04-18,151.3,153.04,151.22,151.96,903633
2024-04-19,151.96,153.39,148.04,148.72,1133399
2024-04-22,148.72,149.07,147.57,149.04,861540
2024-04-23,149.04,150.32,148.27,150.04,1124086
2024-04-24,150.04,150.69,148.81,149.62,1111400
2024-04-25,149.62,151.99,149.44,151.59,1217980
2024-04-26,151.59,153.67,149.45,151.08,869156
