date,open,high,low,close,volume
2023-11-08,42000.0,44641.83,41554.56,44003.49,1220621
2023-11-09,44003.49,45392.11,43593.16,45384.5,975812
2023-11-10,45384.5,46660.57,44706.02,45028.38,993951
2023-11-13,45028.38,45683.27,43642.18,44073.46,1014446
2023-11-14,44073.46,44219.41,42741.07,42832.84,915306
2023-11-15,42832.84,43000.89,42137.87,42725.31,1218953
2023-11-16,42725.31,43577.46,41946.19,43465.03,897545
2023-11-17,43465.03,43586.2,42975.64,43541.03,952832
2023-11-20,43541.03,44056.75,43163.24,43855.13,981147
2023-11-21,43855.13,44012.61,43099.62,43615.37,1221138
2023-11-22,43615.37,44535.78,43237.09,43931.78,865094
2023-11-23,43931.78,44491.33,43457.87,44328.91,1034840
2023-11-24,44328.91,44468.38,43634.75,44055.78,927154
2023-11-27,44055.78,44358.46,41635.08,42294.7,949125
2023-11-28,42294.7,42532.77,41857.41,42339.3,1043419
2023-11-29,42339.3,43548.56,42271.28,42956.53,862396
2023-11-30,42956.53,43844.49,42668.4,43243.43,938396
2023-12-01,43243.43,44288.85,43131.9,43440.22,1163462
2023-12-04,43440.22,43832.89,42754.79,42924.35,1120237
2023-12-05,42924.35,43651.43,41693.03,41854.07,900024
2023-12-06,41854.07,42354.71,40975.12,41416.32,1123061
2023-12-07,41416.32,41693.82,40178.0,41215.76,923863
2023-12-08,41215.76,41389.66,39830.91,39981.1,1123557
2023-12-11,39981.1,41255.41,39081.95,39162.39,1079176
2023-12-12,39162.39,39348.1,38096.94,38702.8,1006227
2023-12-13,38702.8,39144.95,38508.15,38940.3,1236868
2023-12-14,38940.3,39808.66,38866.97,39309.08,1203879
2023-12-15,39309.08,40345.36,38645.82,38802.16,902407
2023-12-18,38802.16,38985.27,38100.96,38164.93,1013543
2023-12-19,38164.93,39806.84,37644.12,39124.63,962693
2023-12-20,39124.63,40812.74,39035.72,40555.66,1177317
2023-12-21,40555.66,40823.52,39912.25,40725.25,1209871
2023-12-22,40725.25,41577.07,40024.64,40604.25,1299282
2023-12-25,40604.25,42484.91,40448.06,42028.79,1167442
2023-12-26,42028.79,42567.26,41534.97,41911.98,1140241
2023-12-27,41911.98,42903.93,41870.71,42427.13,1258219
2023-12-28,42427.13,42780.96,41963.83,42362.63,1107575
2023-12-29,42362.63,43500.15,41815.95,43370.06,1295881
2024-01-01,43370.06,43852.91,42272.06,42764.91,811244
2024-01-02,42764.91,43826.99,42636.92,43267.54,1100489
2024-01-03,43267.54,43391.29,42927.83,43247.56,835972
