date,open,high,low,close,volume
2023-11-08,2300.0,2377.74,2299.18,2362.54,928044
2023-11-09,2362.54,2463.02,2330.12,2434.85,1172142
2023-11-10,2434.85,2524.95,2417.36,2506.68,1192136
2023-11-13,2506.68,2544.71,2492.57,2514.39,883612
2023-11-14,2514.39,2552.98,2461.28,2504.25,1221446
2023-11-15,2504.25,2537.7,2497.84,2502.09,1240207
2023-11-16,2502.09,2554.54,2452.38,2475.65,959220
2023-11-17,2475.65,2505.12,2466.27,2469.42,945556
2023-11-20,2469.42,2594.19,2399.95,2518.68,1196827
2023-11-21,2518.68,2543.95,2475.74,2492.47,1001771
2023-11-22,2492.47,2529.63,2456.82,2527.71,1126826
2023-11-23,2527.71,2555.37,2521.67,2540.25,1224174
2023-11-24,2540.25,2558.42,2445.4,2468.22,1259883
2023-11-27,2468.22,2538.47,2463.56,2516.51,1258876
2023-11-28,2516.51,2627.94,2501.11,2565.83,1091018
2023-11-29,2565.83,2726.39,2563.36,2716.61,1058338
2023-11-30,2716.61,2773.99,2693.39,2745.78,1207262
2023-12-01,2745.78,2758.48,2679.89,2693.72,998961
2023-12-04,2693.72,2734.99,2666.94,2715.93,891288
2023-12-05,2715.93,2721.92,2567.24,2612.14,850024
2023-12-06,2612.14,2739.42,2554.09,2704.98,1100021
2023-12-07,2704.98,2761.9,2606.86,2631.46,831144
2023-12-08,2631.46,2653.48,2589.88,2637.82,907917
2023-12-11,2637.82,2661.31,2607.13,2623.88,1152147
2023-12-12,2623.88,2638.64,2620.6,2620.87,884218
2023-12-13,2620.87,2625.74,2557.27,2576.87,922406
2023-12-14,2576.87,2590.61,2550.69,2588.05,1260980
2023-12-15,2588.05,2662.31,2548.78,2638.24,881526
2023-12-18,2638.24,2704.21,2591.28,2691.52,1008521
2023-12-19,2691.52,2702.56,2599.79,2679.18,854129
2023-12-20,2679.18,2727.55,2616.39,2617.83,841143
2023-12-21,2617.83,2639.84,2573.76,2633.13,981505
2023-12-22,2633.13,2737.36,2625.06,2691.86,1245608
2023-12-25,2691.86,2781.45,2665.39,2740.97,981061
2023-12-26,2740.97,2859.35,2723.1,2839.56,1141925
2023-12-27,2839.56,2857.75,2758.83,2767.9,950006
2023-12-28,2767.9,2861.24,2713.96,2721.46,1236075
2023-12-29,2721.46,2900.03,2703.03,2818.03,1154527
2024-01-01,2818.03,2840.81,2791.47,2818.87,991006
2024-01-02,2818.87,2973.89,2763.0,2969.4,1291805
2024-01-03,2969.4,2998.87,2737.8,2766.39,1278863
2024-01-04,2766.39,2785.31,2623.92,2660.3,1209631
2024-01-05,2660.3,2706.59,2634.01,2636.0,1247163
2024-01-08,2636.0,2713.45,2530.47,2544.88,1024132
2024-01-09,2544.88,2560.98,2526.79,2552.25,1000654
2024-01-10,2552.25,2560.51,2475.65,2540.32,1138480
2024-01-11,2540.32,2546.76,2444.23,2514.62,1232416
2024-01-12,2514.62,2578.37,2422.83,2535.38,944563
2024-01-15,2535.38,2573.77,2487.87,2567.96,956950
2024-01-16,2567.96,2624.71,2540.51,2592.52,899800
2024-01-17,2592.52,2609.42,2578.17,2605.25,1109803
2024-01-18,2605.25,2709.89,2578.98,2696.13,890312
2024-01-19,2696.13,2764.54,2675.51,2730.49,1191141
2024-01-22,2730.49,2920.75,2696.81,2883.48,1293833
2024-01-23,2883.48,2929.97,2686.68,2736.98,1053835
2024-01-24,2736.98,2778.21,2670.91,2712.68,922228
2024-01-25,2712.68,2837.58,2643.9,2836.19,895855
2024-01-26,2836.19,2866.14,2768.58,2774.0,1199612
2024-01-29,2774.0,2838.73,2771.01,2829.31,973827
2024-01-30,2829.31,2870.36,2783.5,2837.2,1109816
2024-01-31,2837.2,2882.49,2831.28,2872.04,1120210
2024-02-01,2872.04,2982.19,2852.77,2929.38,803040
2024-02-02,2929.38,3003.11,2904.28,2954.31,876661
2024-02-05,2954.31,2984.45,2813.24,2819.56,1124611
2024-02-06,2819.56,2872.02,2786.77,2855.71,1240873
2024-02-07,2855.71,2896.66,2852.24,2878.88,992121
2024-02-08,2878.88,2924.15,2654.82,2746.15,947700
2024-02-09,2746.15,2818.51,2735.01,2761.46,879607
2024-02-12,2761.46,2960.47,2760.95,2856.73,1175763
2024-02-13,2856.73,2962.42,2758.6,2925.94,867633
2024-02-14,2925.94,3155.98,2860.75,3096.12,956844
2024-02-15,3096.12,3166.25,3047.32,3152.96,862707
2024-02-16,3152.96,3158.37,2953.24,3038.14,1257310
2024-02-19,3038.14,3058.33,2903.56,2972.74,1084670
2024-02-20,2972.74,3013.15,2824.21,2865.71,1091166
2024-02-21,2865.71,2892.53,2831.42,2861.26,1030022
2024-02-22,2861.26,2885.71,2851.76,2863.23,927192
2024-02-23,2863.23,2884.15,2771.88,2818.28,1005872
2024-02-26,2818.28,2938.15,2817.23,2892.7,997662
2024-02-27,2892.7,2903.41,2828.1,2884.1,1046792
2024-02-28,2884.1,2922.89,2835.53,2836.69,839494
2024-02-29,2836.69,2916.58,2788.96,2892.58,976274
2024-03-01,2892.58,2945.55,2708.05,2725.92,846271
2024-03-04,2725.92,2779.59,2646.82,2694.45,1085162
2024-03-05,2694.45,2696.78,2669.87,2685.92,863845
2024-03-06,2685.92,2698.4,2599.72,2633.83,814758
2024-03-07,2633.83,2722.81,2580.34,2677.26,1018591
2024-03-08,2677.26,2724.79,2674.09,2691.08,822859
2024-03-11,2691.08,2719.51,2679.32,2689.44,1288215
2024-03-12,2689.44,2747.51,2666.99,2682.42,988518
2024-03-13,2682.42,2831.92,2646.79,2802.58,1059178
2024-03-14,2802.58,2924.71,2750.49,2863.3,828799
2024-03-15,2863.3,3010.96,2838.74,2977.88,824035
2024-03-18,2977.88,3047.07,2804.67,2861.8,932719
2024-03-19,2861.8,2914.83,2842.86,2884.95,919566
2024-03-20,2884.95,2934.28,2843.13,2844.61,992142
2024-03-21,2844.61,2950.23,2756.91,2931.63,1144394
2024-03-22,2931.63,3029.0,2919.32,2969.45,1045459
2024-03-25,2969.45,3083.49,2963.65,3056.66,994117
2024-03-26,3056.66,3127.81,2988.71,3013.1,834812
2024-03-27,3013.1,3095.57,2895.3,2907.17,1106635
2024-03-28,2907.17,3016.77,2875.32,2995.09,1019545
2024-03-29,2995.09,3076.86,2961.96,3003.16,1102278
2024-04-01,3003.16,3118.37,2992.54,3082.82,1026576
2024-04-02,3082.82,3090.96,3007.37,3033.92,1183382
2024-04-03,3033.92,3084.88,2928.29,2970.69,856712
2024-04-04,2970.69,2985.52,2909.76,2925.5,1213228
2024-04-05,2925.5,2935.13,2840.4,2861.87,1187521
2024-04-08,2861.87,3049.17,2830.35,2960.63,1033889
2024-04-09,2960.63,3009.4,2887.71,3003.44,962712
2024-04-10,3003.44,3051.89,2959.93,2982.59,919309
2024-04-11,2982.59,3034.97,2805.51,2872.4,1198610
2024-04-12,2872.4,2942.49,2741.83,2800.31,1226680
2024-04-15,2800.31,2877.47,2778.42,2812.92,926575
2024-04-16,2812.92,2939.26,2793.19,2916.87,1198967
2024-04-17,2916.87,2917.78,2749.51,2830.43,1034068
2024-04-18,2830.43,2866.22,2799.38,2803.53,858030
2024-04-19,2803.53,2874.3,2784.02,2837.66,1168158
2024-04-22,2837.66,2864.68,2822.78,2824.02,1192926
2024-04-23,2824.02,2831.8,2757.81,2804.53,1266718
2024-04-24,2804.53,2834.93,2782.57,2812.18,942290
2024-04-25,2812.18,2819.74,2687.61,2731.98,817658
2024-04-26,2731.98,2889.31,2723.03,2869.71,1186965
2024-04-29,2869.71,2972.62,2807.1,2969.01,1128278
2024-04-30,2969.01,3113.37,2925.74,3070.94,846984
2024-05-01,3070.94,3114.48,2987.14,3007.72,885118
2024-05-02,3007.72,3009.14,2906.34,3000.87,1049985
2024-05-03,3000.87,3169.68,2942.64,3135.47,1171341
2024-05-06,3135.47,3145.8,3086.56,3121.88,1252284
2024-05-07,3121.88,3148.39,3011.36,3077.87,1292646
2024-05-08,3077.87,3096.23,2912.38,2956.2,943043
2024-05-09,2956.2,3022.94,2910.68,3011.18,884674
2024-05-10,3011.18,3055.81,2944.65,2990.55,941802
2024-05-13,2990.55,3114.05,2912.48,3047.98,841835
2024-05-14,3047.98,3140.3,3007.78,3055.52,1255235
2024-05-15,3055.52,3060.73,2911.9,2948.52,1180939
2024-05-16,2948.52,3113.29,2933.8,3076.95,838254
2024-05-17,3076.95,3086.17,3004.05,3066.94,1299729
2024-05-20,3066.94,3108.26,3017.54,3033.89,1002643
2024-05-21,3033.89,3184.49,3010.87,3151.44,1263982
2024-05-22,3151.44,3335.44,3123.43,3273.7,965508
2024-05-23,3273.7,3295.24,3145.3,3166.13,1154983
2024-05-24,3166.13,3210.24,3031.54,3051.43,824611
2024-05-27,3051.43,3242.23,2998.55,3198.2,1275367
2024-05-28,3198.2,3226.68,3134.16,3152.84,1190570
2024-05-29,3152.84,3189.46,3060.3,3065.75,1111756
2024-05-30,3065.75,3100.58,2979.45,2987.92,940024
2024-05-31,2987.92,3044.61,2960.1,3022.04,870037
2024-06-03,3022.04,3058.09,2933.44,2941.47,889548
2024-06-04,2941.47,3054.74,2915.45,3014.4,1049932
2024-06-05,3014.4,3103.62,2960.31,3079.38,860080
2024-06-06,3079.38,3105.21,2930.14,2962.86,831411
2024-06-07,2962.86,3101.67,2916.02,3067.41,1298744
2024-06-10,3067.41,3277.36,3033.07,3191.75,859916
2024-06-11,3191.75,3239.29,3146.16,3153.27,1070687
2024-06-12,3153.27,3368.91,3151.87,3350.03,1139281
2024-06-13,3350.03,3396.08,3325.35,3371.23,1116047
2024-06-14,3371.23,3425.37,3203.64,3238.07,1030595
2024-06-17,3238.07,3398.88,3232.37,3320.38,902322
2024-06-18,3320.38,3343.4,3265.56,3284.57,1198879
2024-06-19,3284.57,3306.23,3244.86,3277.12,858042
2024-06-20,3277.12,3338.88,3272.47,3290.96,1257316
2024-06-21,3290.96,3291.2,3176.61,3196.64,1199440
2024-06-24,3196.64,3224.8,3049.03,3087.13,1060508
2024-06-25,3087.13,3175.24,3056.92,3125.88,1188337
2024-06-26,3125.88,3127.16,3031.65,3047.16,1080485
2024-06-27,3047.16,3097.56,2924.9,2964.69,929660
2024-06-28,2964.69,2970.82,2919.98,2925.26,1179115
2024-07-01,2925.26,3046.2,2867.29,3002.21,1177084
2024-07-02,3002.21,3014.3,2989.02,2997.53,1179445
2024-07-03,2997.53,3009.36,2951.16,2970.46,850327
2024-07-04,2970.46,3012.95,2862.42,2965.97,1073908
2024-07-05,2965.97,2984.24,2811.47,2879.48,1240638
2024-07-08,2879.48,2903.27,2730.7,2740.89,978518
2024-07-09,2740.89,2836.76,2706.02,2809.63,814373
2024-07-10,2809.63,2830.82,2750.79,2757.8,903196
2024-07-11,2757.8,2760.62,2535.06,2551.0,868839
2024-07-12,2551.0,2555.28,2507.63,2511.57,952258
2024-07-15,2511.57,2521.4,2378.18,2379.81,815059
2024-07-16,2379.81,2385.74,2314.04,2322.6,1206534
2024-07-17,2322.6,2339.02,2281.79,2331.25,1225109
2024-07-18,2331.25,2466.05,2300.63,2462.17,1264634
2024-07-19,2462.17,2497.69,2404.51,2407.18,1068270
2024-07-22,2407.18,2469.45,2377.12,2435.4,830542
2024-07-23,2435.4,2445.9,2389.25,2423.75,1156329
2024-07-24,2423.75,2469.46,2357.19,2358.85,995754
2024-07-25,2358.85,2396.45,2352.79,2379.3,1207668
2024-07-26,2379.3,2457.38,2350.32,2414.69,914178
2024-07-29,2414.69,2448.45,2401.65,2427.72,840901
2024-07-30,2427.72,2534.11,2406.2,2529.83,817343
2024-07-31,2529.83,2628.23,2434.37,2617.01,902393
2024-08-01,2617.01,2656.7,2565.53,2586.39,1155589
2024-08-02,2586.39,2647.96,2456.56,2504.73,1065316
2024-08-05,2504.73,2559.55,2374.86,2417.48,1191616
2024-08-06,2417.48,2429.85,2393.9,2411.91,1049285
2024-08-07,2411.91,2424.08,2383.93,2389.39,1163409
2024-08-08,2389.39,2472.46,2304.93,2445.23,999977
2024-08-09,2445.23,2445.94,2282.3,2294.91,980901
2024-08-12,2294.91,2326.61,2281.79,2316.66,1154673
2024-08-13,2316.66,2355.79,2148.41,2203.72,1252235
2024-08-14,2203.72,2217.41,2187.69,2209.01,920846
2024-08-15,2209.01,2220.86,2150.67,2183.52,1283750
2024-08-16,2183.52,2188.01,2154.18,2157.78,1123591
2024-08-19,2157.78,2171.08,2075.66,2111.63,1287683
2024-08-20,2111.63,2119.47,2055.3,2063.77,873341
2024-08-21,2063.77,2105.51,2021.16,2033.33,1078603
2024-08-22,2033.33,2053.44,2021.73,2046.06,837134
2024-08-23,2046.06,2068.89,1939.49,1963.09,1089738
2024-08-26,1963.09,1986.39,1888.81,1914.68,1125193
2024-08-27,1914.68,1927.1,1759.13,1779.22,1269382
2024-08-28,1779.22,1813.17,1745.7,1752.43,976905
2024-08-29,1752.43,1760.1,1701.64,1723.78,1156687
2024-08-30,1723.78,1735.31,1636.18,1672.66,820981
2024-09-02,1672.66,1706.28,1649.46,1678.24,1062966
2024-09-03,1678.24,1731.46,1671.9,1722.8,1217748
2024-09-04,1722.8,1731.26,1679.19,1686.07,1074966
2024-09-05,1686.07,1695.78,1600.11,1622.8,1087915
2024-09-06,1622.8,1657.87,1622.44,1634.55,1074771
2024-09-09,1634.55,1638.66,1536.67,1545.37,947816
2024-09-10,1545.37,1657.34,1526.23,1638.12,1001929
2024-09-11,1638.12,1644.43,1517.9,1519.46,918820
2024-09-12,1519.46,1522.25,1474.76,1483.38,838859
2024-09-13,1483.38,1578.85,1466.1,1550.91,1230124
2024-09-16,1550.91,1558.36,1483.3,1483.42,1166543
2024-09-17,1483.42,1512.82,1478.5,1485.66,1045597
2024-09-18,1485.66,1494.61,1394.23,1419.25,1247457
2024-09-19,1419.25,1474.3,1394.99,1473.25,1240424
2024-09-20,1473.25,1495.38,1454.57,1467.79,1088424
2024-09-23,1467.79,1494.51,1460.37,1467.22,1217795
2024-09-24,1467.22,1483.29,1430.17,1456.1,1253947
2024-09-25,1456.1,1460.8,1360.27,1367.34,929122
2024-09-26,1367.34,1373.88,1294.94,1304.53,1184525
2024-09-27,1304.53,1322.73,1284.9,1293.96,1250119
2024-09-30,1293.96,1353.97,1270.18,1317.89,1217734
2024-10-01,1317.89,1341.79,1299.64,1340.64,951252
2024-10-02,1340.64,1375.95,1310.53,1326.88,819247
2024-10-03,1326.88,1377.46,1324.9,1366.47,1115271
2024-10-04,1366.47,1369.03,1310.82,1332.29,1294248
2024-10-07,1332.29,1440.31,1307.85,1432.32,1000200
2024-10-08,1432.32,1517.52,1421.67,1512.2,1203278
2024-10-09,1512.2,1542.57,1475.65,1495.14,1178353
2024-10-10,1495.14,1507.9,1421.94,1447.37,1085894
2024-10-11,1447.37,1447.68,1415.41,1434.31,860431
2024-10-14,1434.31,1452.65,1384.45,1394.35,948259
2024-10-15,1394.35,1402.09,1350.27,1360.53,1006883
2024-10-16,1360.53,1399.3,1352.47,1383.65,1084523
2024-10-17,1383.65,1414.2,1364.36,1400.26,893399
2024-10-18,1400.26,1527.01,1383.18,1524.91,975693
2024-10-21,1524.91,1588.14,1522.54,1570.97,893400
2024-10-22,1570.97,1590.1,1505.48,1511.96,1237206
2024-10-23,1511.96,1551.21,1483.63,1533.4,827016
2024-10-24,1533.4,1581.68,1520.22,1561.19,1039353
2024-10-25,1561.19,1597.33,1513.46,1592.67,880097
2024-10-28,1592.67,1624.11,1483.44,1507.88,996182
2024-10-29,1507.88,1514.01,1467.21,1481.01,1076756
2024-10-30,1481.01,1510.16,1437.41,1445.76,1068709
2024-10-31,1445.76,1458.16,1430.22,1454.13,1129147
2024-11-01,1454.13,1493.81,1445.82,1482.92,1003263
2024-11-04,1482.92,1486.9,1450.58,1454.04,885482
2024-11-05,1454.04,1471.46,1433.5,1467.65,1103136
2024-11-06,1467.65,1501.44,1430.28,1461.61,1027400
2024-11-07,1461.61,1463.54,1402.86,1411.35,1156855
2024-11-08,1411.35,1452.47,1403.96,1448.18,844880
2024-11-11,1448.18,1500.32,1446.89,1469.12,1151363
2024-11-12,1469.12,1566.55,1455.72,1559.62,1008558
2024-11-13,1559.62,1561.16,1520.97,1549.93,1153731
2024-11-14,1549.93,1619.4,1542.45,1598.84,969240
2024-11-15,1598.84,1601.26,1541.19,1550.44,1297301
2024-11-18,1550.44,1556.29,1458.6,1485.0,902821
2024-11-19,1485.0,1510.15,1451.23,1502.71,1079897
2024-11-20,1502.71,1514.47,1469.07,1474.56,1227225
2024-11-21,1474.56,1485.93,1438.96,1441.85,1135620
2024-11-22,1441.85,1454.28,1379.88,1411.41,1203548
2024-11-25,1411.41,1430.69,1358.12,1374.78,1222776
2024-11-26,1374.78,1380.89,1309.3,1333.09,801512
2024-11-27,1333.09,1342.2,1326.68,1339.47,943055
2024-11-28,1339.47,1393.45,1338.69,1346.89,1055819
2024-11-29,1346.89,1378.09,1344.96,1364.21,1294701
2024-12-02,1364.21,1371.13,1301.32,1302.0,1147744
2024-12-03,1302.0,1315.26,1292.02,1298.65,1277194
2024-12-04,1298.65,1319.56,1296.35,1309.79,828413
2024-12-05,1309.79,1335.08,1233.33,1243.36,994426
2024-12-06,1243.36,1258.5,1213.55,1232.02,1162926
2024-12-09,1232.02,1283.3,1200.77,1262.76,873965
2024-12-10,1262.76,1292.91,1253.42,1265.7,1061887
2024-12-11,1265.7,1270.64,1223.0,1229.61,1148291
2024-12-12,1229.61,1256.81,1218.07,1247.14,991292
2024-12-13,1247.14,1277.69,1220.47,1273.5,885532
2024-12-16,1273.5,1329.49,1243.52,1316.52,1224293
2024-12-17,1316.52,1350.0,1284.24,1308.66,1222798
2024-12-18,1308.66,1323.52,1276.52,1280.68,1021085
2024-12-19,1280.68,1357.04,1250.45,1344.06,1290347
2024-12-20,1344.06,1422.38,1329.34,1419.63,1153684
2024-12-23,1419.63,1431.78,1403.83,1430.6,1089341
2024-12-24,1430.6,1520.85,1409.34,1465.66,866358
2024-12-25,1465.66,1499.35,1418.65,1427.72,1220305
2024-12-26,1427.72,1442.51,1354.89,1360.61,1051050
2024-12-27,1360.61,1370.97,1328.89,1361.91,1246675
2024-12-30,1361.91,1384.27,1323.6,1341.38,1068176
2024-12-31,1341.38,1345.63,1262.83,1279.82,1061602
