date,open,high,low,close,volume
2023-11-08,320.0,322.25,314.25,322.02,892127
2023-11-09,322.02,325.78,320.41,324.07,972822
2023-11-10,324.07,326.96,322.69,326.2,1100571
2023-11-13,326.2,328.46,324.78,325.81,1261925
2023-11-14,325.81,326.36,324.21,325.87,955341
2023-11-15,325.87,327.03,320.32,323.24,1091412
2023-11-16,323.24,329.8,321.22,328.72,1149193
2023-11-17,328.72,329.69,327.2,328.03,1278359
2023-11-20,328.03,330.67,323.9,326.17,871112
2023-11-21,326.17,327.27,323.01,325.16,892514
2023-11-22,325.16,329.92,321.54,329.3,1053140
2023-11-23,329.3,332.83,329.12,331.14,1130500
2023-11-24,331.14,334.65,329.61,333.93,948659
2023-11-27,333.93,339.15,332.75,337.41,1016736
2023-11-28,337.41,339.24,331.03,335.83,977850
2023-11-29,335.83,343.68,335.12,342.1,1264752
2023-11-30,342.1,346.97,341.47,346.36,1247750
2023-12-01,346.36,348.65,344.44,347.61,974569
2023-12-04,347.61,349.06,346.25,346.42,1067726
2023-12-05,346.42,348.37,344.02,347.65,900754
2023-12-06,347.65,348.19,344.84,347.61,1260508
2023-12-07,347.61,354.72,346.78,351.42,1049266
2023-12-08,351.42,351.77,344.31,347.17,1036519
2023-12-11,347.17,347.56,344.7,347.2,976887
2023-12-12,347.2,352.07,343.98,348.92,809095
2023-12-13,348.92,351.39,344.01,344.01,970287
2023-12-14,344.01,349.2,342.77,346.86,820934
2023-12-15,346.86,349.9,346.53,348.31,859046
2023-12-18,348.31,350.53,347.57,349.22,938183
2023-12-19,349.22,350.83,346.8,347.92,903857
2023-12-20,347.92,350.28,342.2,345.11,819141
2023-12-21,345.11,347.52,340.17,342.49,816486
2023-12-22,342.49,345.89,340.38,343.98,1159068
2023-12-25,343.98,349.47,343.69,348.18,915370
2023-12-26,348.18,349.04,347.67,348.4,1244704
2023-12-27,348.4,348.76,346.52,346.99,1049379
2023-12-28,346.99,347.3,346.1,346.52,1183138
2023-12-29,346.52,349.39,346.46,346.94,1292774
2024-01-01,346.94,349.77,346.01,348.73,971145
2024-01-02,348.73,350.84,346.24,348.66,804549
2024-01-03,348.66,350.37,343.98,345.38,1246537
2024-01-04,345.38,352.86,344.86,351.28,1224252
2024-01-05,351.28,351.37,349.19,349.37,1219360
2024-01-08,349.37,354.46,349.2,351.74,1208679
2024-01-09,351.74,354.54,348.77,354.35,1180843
2024-01-10,354.35,360.72,352.66,358.73,897494
2024-01-11,358.73,360.19,357.78,359.7,1058839
2024-01-12,359.7,362.89,359.5,361.87,1078843
2024-01-15,361.87,367.31,358.82,365.46,810913
2024-01-16,365.46,368.1,363.88,364.76,1203324
2024-01-17,364.76,366.62,363.72,365.88,1052391
2024-01-18,365.88,370.9,364.37,367.18,1005987
2024-01-19,367.18,369.28,360.83,363.22,1270896
2024-01-22,363.22,372.54,359.35,371.96,1200414
2024-01-23,371.96,373.3,370.18,370.44,828686
2024-01-24,370.44,374.9,369.74,373.5,811938
2024-01-25,373.5,374.29,371.59,373.17,887740
2024-01-26,373.17,376.59,372.89,374.67,977025
2024-01-29,374.67,377.77,370.96,376.29,1279529
2024-01-30,376.29,376.67,374.31,374.69,1275235
2024-01-31,374.69,374.8,371.49,372.45,955241
2024-02-01,372.45,375.19,372.0,374.81,1297206
2024-02-02,374.81,376.8,371.46,375.97,1052244
2024-02-05,375.97,378.72,375.24,377.16,990338
2024-02-06,377.16,383.11,374.58,381.82,824316
2024-02-07,381.82,384.94,378.63,383.58,1135361
2024-02-08,383.58,384.78,381.15,381.94,877284
2024-02-09,381.94,385.6,380.98,382.42,908567
2024-02-12,382.42,382.89,377.19,377.45,1260278
2024-02-13,377.45,378.83,376.45,377.27,919658
2024-02-14,377.27,381.33,373.38,374.37,1078557
2024-02-15,374.37,378.83,372.66,377.96,1258792
2024-02-16,377.96,379.18,371.46,371.74,1191328
2024-02-19,371.74,379.94,369.48,379.58,1140953
2024-02-20,379.58,380.72,375.19,375.34,977278
2024-02-21,375.34,381.02,373.61,380.47,1289732
2024-02-22,380.47,381.14,377.61,378.46,1168191
2024-02-23,378.46,382.32,377.73,379.84,954006
2024-02-26,379.84,381.53,378.57,380.56,916565
2024-02-27,380.56,381.81,374.16,375.48,1124498
2024-02-28,375.48,376.07,372.3,375.82,878905
2024-02-29,375.82,380.76,375.01,378.66,880274
2024-03-01,378.66,383.07,377.49,381.98,842050
2024-03-04,381.98,384.18,381.97,382.72,1022171
2024-03-05,382.72,383.62,376.26,377.46,889846
2024-03-06,377.46,377.85,376.1,376.57,861573
2024-03-07,376.57,384.85,372.44,383.32,1113136
2024-03-08,383.32,384.36,379.75,381.49,1166184
2024-03-11,381.49,386.11,381.02,382.68,971836
2024-03-12,382.68,384.68,382.28,383.68,1252710
2024-03-13,383.68,389.21,381.26,388.17,1069019
2024-03-14,388.17,390.79,381.22,385.21,1259804
2024-03-15,385.21,385.77,379.59,381.97,1227446
2024-03-18,381.97,385.93,380.95,384.72,1106462
2024-03-19,384.72,386.87,384.16,385.73,820661
2024-03-20,385.73,392.23,384.2,391.54,1216058
2024-03-21,391.54,391.87,388.72,389.67,930155
2024-03-22,389.67,390.45,386.21,390.29,1115613
2024-03-25,390.29,392.99,388.45,388.65,840777
2024-03-26,388.65,390.0,385.08,385.35,894325
2024-03-27,385.35,385.83,383.31,384.56,1249216
2024-03-28,384.56,384.58,382.79,383.07,1249627
2024-03-29,383.07,387.35,381.44,385.16,812568
2024-04-01,385.16,386.14,381.29,382.63,1229007
2024-04-02,382.63,384.77,382.08,383.93,914209
2024-04-03,383.93,387.02,382.34,385.82,874951
2024-04-04,385.82,387.02,382.93,384.63,1014806
2024-04-05,384.63,384.81,380.46,382.21,928404
2024-04-08,382.21,386.0,381.91,384.89,977469
2024-04-09,384.89,391.94,383.4,391.51,834929
2024-04-10,391.51,393.35,389.49,390.59,905823
2024-04-11,390.59,391.42,388.35,389.58,1280169
2024-04-12,389.58,393.1,387.44,392.52,1092320
2024-04-15,392.52,395.87,391.2,394.31,1184322
2024-04-16,394.31,401.01,392.93,400.98,1043426
2024-04-17,400.98,403.34,394.38,394.92,868152
2024-04-18,394.92,395.04,392.14,392.4,879246
2024-04-19,392.4,396.18,391.57,393.86,918151
2024-04-22,393.86,394.66,389.77,389.88,1097997
2024-04-23,389.88,393.63,387.21,392.29,1053848
2024-04-24,392.29,392.5,390.7,391.92,988599
2024-04-25,391.92,400.56,390.67,398.91,1217008
2024-04-26,398.91,401.46,394.86,400.89,995215
2024-04-29,400.89,401.42,397.47,401.38,847154
2024-04-30,401.38,403.98,397.93,400.26,962877
2024-05-01,400.26,400.45,392.34,394.21,860762
2024-05-02,394.21,397.53,392.1,393.65,836200
2024-05-03,393.65,393.99,388.52,393.63,1197076
2024-05-06,393.63,395.32,388.27,388.48,1046407
2024-05-07,388.48,391.86,382.45,382.47,917532
2024-05-08,382.47,382.82,378.87,381.35,1043125
2024-05-09,381.35,390.04,380.85,386.72,843613
2024-05-10,386.72,388.48,381.49,384.41,1268479
2024-05-13,384.41,385.78,382.12,385.02,1141965
2024-05-14,385.02,386.37,372.39,374.46,997966
2024-05-15,374.46,377.24,370.43,371.96,986450
2024-05-16,371.96,379.0,369.17,377.27,1084997
2024-05-17,377.27,377.51,375.74,376.01,1130752
2024-05-20,376.01,379.45,375.98,376.43,1142041
2024-05-21,376.43,376.78,373.96,375.8,1234263
2024-05-22,375.8,376.98,371.57,372.69,905096
2024-05-23,372.69,374.29,370.47,373.8,823780
2024-05-24,373.8,375.94,373.29,375.52,1175019
2024-05-27,375.52,376.51,365.89,365.98,1191982
2024-05-28,365.98,367.88,362.35,367.35,955332
2024-05-29,367.35,368.43,365.94,367.19,1283206
2024-05-30,367.19,370.86,363.67,367.04,898115
2024-05-31,367.04,369.33,366.52,366.75,1161184
2024-06-03,366.75,370.12,366.5,367.73,1024829
2024-06-04,367.73,371.16,365.52,370.39,977302
2024-06-05,370.39,373.01,369.2,371.28,955499
2024-06-06,371.28,373.63,369.75,373.41,1136661
2024-06-07,373.41,375.26,367.65,370.08,865031
2024-06-10,370.08,371.93,366.65,367.93,1173181
2024-06-11,367.93,368.08,364.06,366.7,1192629
2024-06-12,366.7,369.07,366.28,367.87,816897
2024-06-13,367.87,367.93,360.42,362.12,1098429
2024-06-14,362.12,366.53,361.63,365.3,846010
2024-06-17,365.3,368.96,363.78,368.75,1293455
2024-06-18,368.75,369.85,364.63,366.8,1019944
2024-06-19,366.8,368.14,360.14,360.67,1249346
2024-06-20,360.67,364.05,359.39,362.85,999933
2024-06-21,362.85,368.4,362.37,366.99,1148678
2024-06-24,366.99,367.11,361.53,363.16,1118912
2024-06-25,363.16,369.7,362.06,369.19,1122326
2024-06-26,369.19,374.99,366.35,374.53,1256263
2024-06-27,374.53,377.63,373.96,377.44,1293094
2024-06-28,377.44,379.53,376.2,377.97,1108190
2024-07-01,377.97,378.46,374.91,376.25,1044986
2024-07-02,376.25,376.93,374.7,376.59,1023296
2024-07-03,376.59,378.3,372.59,373.83,1283479
2024-07-04,373.83,374.92,364.91,366.72,859053
2024-07-05,366.72,368.47,364.69,365.92,1199110
2024-07-08,365.92,368.39,362.39,362.87,1006704
2024-07-09,362.87,364.81,360.53,364.08,963130
2024-07-10,364.08,369.1,363.34,367.39,1292726
2024-07-11,367.39,369.82,360.9,362.8,1023580
2024-07-12,362.8,363.35,355.02,357.1,1247186
2024-07-15,357.1,361.86,354.57,360.48,820193
2024-07-16,360.48,362.62,355.1,357.46,821817
2024-07-17,357.46,359.25,351.95,354.12,845068
2024-07-18,354.12,354.54,350.56,354.28,974611
2024-07-19,354.28,354.59,349.58,349.95,1052795
2024-07-22,349.95,356.15,347.48,353.84,888449
2024-07-23,353.84,353.9,346.58,348.29,1115770
2024-07-24,348.29,349.86,344.01,346.04,1246715
2024-07-25,346.04,357.51,344.09,357.01,993967
2024-07-26,357.01,361.52,356.21,361.37,1255361
2024-07-29,361.37,366.6,360.14,365.21,1263637
2024-07-30,365.21,365.66,364.11,365.61,1086978
2024-07-31,365.61,368.87,364.4,368.83,985858
2024-08-01,368.83,373.64,367.09,371.71,922386
2024-08-02,371.71,373.6,368.62,370.31,1229142
2024-08-05,370.31,372.16,362.87,365.56,1187278
2024-08-06,365.56,365.96,363.01,365.89,1284043
2024-08-07,365.89,371.19,365.33,369.93,1001090
2024-08-08,369.93,376.23,367.7,375.12,889320
2024-08-09,375.12,377.9,368.14,369.87,877991
2024-08-12,369.87,378.86,367.64,375.41,1208376
2024-08-13,375.41,375.65,371.42,371.47,1139389
2024-08-14,371.47,371.48,367.17,369.74,1252099
2024-08-15,369.74,376.17,369.63,375.83,1148881
2024-08-16,375.83,379.49,371.37,374.24,823322
2024-08-19,374.24,376.21,373.01,376.0,1014714
2024-08-20,376.0,376.15,372.97,373.06,825794
2024-08-21,373.06,378.04,372.24,377.49,1227013
2024-08-22,377.49,382.51,372.85,373.76,1227956
2024-08-23,373.76,375.78,372.66,372.82,1041579
2024-08-26,372.82,374.75,370.97,371.21,909884
2024-08-27,371.21,377.89,370.95,377.59,961856
2024-08-28,377.59,379.65,376.89,378.68,948777
2024-08-29,378.68,383.23,378.65,382.59,900521
2024-08-30,382.59,387.94,381.57,384.73,1299076
2024-09-02,384.73,384.88,376.58,379.55,1024739
2024-09-03,379.55,384.42,379.01,383.91,1281933
2024-09-04,383.91,384.07,376.07,377.74,1124629
2024-09-05,377.74,385.03,377.68,380.71,1160684
2024-09-06,380.71,387.78,379.9,387.25,1081078
2024-09-09,387.25,388.25,384.02,384.82,1086268
2024-09-10,384.82,388.37,382.96,383.74,1160113
2024-09-11,383.74,389.6,382.1,388.41,1139217
2024-09-12,388.41,392.28,388.16,392.2,1066007
2024-09-13,392.2,396.81,389.93,394.72,1181805
2024-09-16,394.72,395.98,392.57,395.31,923131
2024-09-17,395.31,400.17,393.38,397.51,987267
2024-09-18,397.51,406.57,395.22,403.88,810580
2024-09-19,403.88,406.71,399.52,402.64,1081142
2024-09-20,402.64,405.39,402.37,403.66,1214659
2024-09-23,403.66,409.07,402.02,408.77,1206878
2024-09-24,408.77,413.82,408.77,410.91,1060341
2024-09-25,410.91,413.05,409.98,411.07,1008274
2024-09-26,411.07,411.98,408.22,410.69,908650
2024-09-27,410.69,412.15,407.27,407.7,941845
2024-09-30,407.7,409.63,405.06,407.65,1185712
2024-10-01,407.65,415.52,405.98,415.15,1097763
2024-10-02,415.15,416.41,407.86,412.42,912693
2024-10-03,412.42,413.22,409.41,412.39,1113982
2024-10-04,412.39,421.86,411.92,419.63,1028170
2024-10-07,419.63,425.86,418.65,425.33,817318
2024-10-08,425.33,428.13,422.19,424.98,1014879
2024-10-09,424.98,432.25,424.13,430.69,1206894
2024-10-10,430.69,434.34,427.51,428.51,917617
2024-10-11,428.51,430.92,422.83,424.85,1271632
2024-10-14,424.85,424.9,417.8,418.09,1032825
2024-10-15,418.09,421.24,414.57,414.86,1090250
2024-10-16,414.86,417.5,412.52,416.62,914942
2024-10-17,416.62,418.14,412.62,417.78,1121282
2024-10-18,417.78,419.39,413.06,415.13,1212942
2024-10-21,415.13,418.45,408.62,409.42,861809
2024-10-22,409.42,410.27,403.97,406.14,1208959
2024-10-23,406.14,407.24,398.38,400.46,1232672
2024-10-24,400.46,407.44,397.25,406.15,1135681
2024-10-25,406.15,409.89,405.83,408.29,1092310
2024-10-28,408.29,413.99,406.02,412.03,1245563
2024-10-29,412.03,412.81,409.94,412.8,1016128
2024-10-30,412.8,413.2,405.56,409.76,922538
2024-10-31,409.76,410.67,406.81,408.59,1209990
2024-11-01,408.59,413.91,406.39,410.4,1061116
2024-11-04,410.4,413.28,408.26,409.33,934574
2024-11-05,409.33,411.98,408.43,409.18,857555
2024-11-06,409.18,410.04,406.82,408.23,945930
2024-11-07,408.23,413.86,407.95,411.47,1264364
2024-11-08,411.47,411.96,406.66,407.84,963535
2024-11-11,407.84,411.17,405.81,410.42,1257730
2024-11-12,410.42,413.58,402.33,405.21,1040960
2024-11-13,405.21,408.94,402.57,405.65,1095538
2024-11-14,405.65,408.95,403.6,407.33,988587
2024-11-15,407.33,411.18,405.6,411.01,1296762
2024-11-18,411.01,415.1,409.98,410.88,1068056
2024-11-19,410.88,411.26,407.56,409.9,1064825
2024-11-20,409.9,412.04,406.1,406.4,936276
2024-11-21,406.4,409.74,406.02,408.02,819389
2024-11-22,408.02,415.0,406.93,413.15,1009598
2024-11-25,413.15,421.09,410.88,419.71,1235793
2024-11-26,419.71,420.7,413.39,416.24,1014130
2024-11-27,416.24,418.56,411.49,413.91,1122486
2024-11-28,413.91,423.63,413.61,422.87,969453
2024-11-29,422.87,424.32,421.39,423.77,1042689
2024-12-02,423.77,423.84,415.66,417.8,1233104
2024-12-03,417.8,418.87,412.91,413.41,1155153
2024-12-04,413.41,416.37,411.86,416.34,1291591
2024-12-05,416.34,418.66,413.57,414.05,979274
2024-12-06,414.05,416.55,408.17,409.82,1283543
2024-12-09,409.82,410.57,409.73,410.24,1109188
2024-12-10,410.24,414.17,401.74,405.44,932363
2024-12-11,405.44,406.74,396.5,399.3,972982
2024-12-12,399.3,399.7,398.56,398.9,986320
2024-12-13,398.9,401.72,397.65,401.32,943835
2024-12-16,401.32,406.31,399.01,405.29,1123254
2024-12-17,405.29,408.33,402.11,402.81,1200344
2024-12-18,402.81,403.36,400.73,403.3,1296428
2024-12-19,403.3,403.47,399.52,401.75,822722
2024-12-20,401.75,409.87,401.1,407.85,1149277
2024-12-23,407.85,410.71,405.94,408.31,833781
2024-12-24,408.31,416.17,405.67,415.28,963198
2024-12-25,415.28,416.4,412.43,416.09,1291456
2024-12-26,416.09,424.63,415.28,423.88,1248640
2024-12-27,423.88,425.74,423.39,423.55,811681
2024-12-30,423.55,426.29,421.46,425.12,1283810
2024-12-31,425.12,425.15,422.99,423.83,835195
